id,log vol score,no vol score,score,mean volume,volatility,long mom,short unweighted mom,long unweighted mom
3390,-272.31119709234196,-18.455510909086602,-299.50729100346695,56388.27067449902,6.161957142096074e-05,-14.863364811875396,-30.81114404172252,-13.28416997087312
3400,-231.46566671535857,-15.438573175177007,-259.7165064126707,64767.476091734745,5.944394289150892e-05,-10.538109702911456,-26.94038212150336,-13.737691173381751
3410,-112.43944984635198,-6.593439183903433,-156.05025409143207,29467.4449605107,4.22520246589297e-05,-4.365359873364056,-12.038269625401377,-5.604767363484245
3420,-258.5446832868902,-17.7073677455429,-280.7926672124376,76294.96448064665,6.30620732419132e-05,-11.15981689900834,-32.84149147229858,-15.668345711856322
3430,-258.9924840845605,-22.165418910391136,-227.55412651970215,160806.15977094317,9.740723778292812e-05,-17.545495574981086,-28.95346704096266,-24.61721745063973
3440,-104.65472174809436,-6.459934532668164,-131.48317536487377,48484.759405074365,4.913126348478773e-05,-3.91578940227094,-13.527186370753585,-4.480972955377196
3450,-98.66204036921891,-5.772137752580611,-137.65696150386802,39863.13133303539,4.193131745406439e-05,-5.46117617389628,-7.35662406161306,-4.809574600916819
3460,-348.82759431691545,-28.86555853154282,-314.87863053307547,145268.8262861409,9.167201496867132e-05,-14.673856699764702,-60.34442543029158,-25.77009529635028
3470,-262.11873456729586,-22.3548683378358,-230.9326391248011,129547.8527431012,9.680254996676644e-05,-21.45005969316934,-23.03523953859302,-23.48411442641149
3480,-134.50703866912727,-7.635401884427119,-203.27103905512925,52646.98413853318,3.756266470579863e-05,-4.895256016589065,-13.153074440412809,-7.598021064117538
3490,-383.81878900687525,-30.26031187234111,-361.0931807235992,135598.42574101116,8.380194777343092e-05,-25.64658290481731,-38.23049614342001,-31.5175855363098
3500,-73.91457091193098,-4.760154597230013,-86.9556575082438,50496.04864407479,5.474232193320749e-05,-3.5535532305529185,-8.140013375053586,-3.793498552760628
3510,-111.68280891111552,-7.714742893561887,-120.07928756693302,69773.32778170038,6.424707416140886e-05,-6.198615133468712,-11.73668129865076,-6.725060008659368
3520,-30.701322221995834,-1.9056941088577817,-38.21372522444138,59756.17269001491,4.9869362321130245e-05,-2.7004117267501355,-0.8776455334372704,-1.3443074484935844
3530,-132.64272316184088,-8.103251748777087,-169.65720127007776,61463.40030420354,4.776249807326185e-05,-7.287915118707223,-10.007334730819377,-7.829842026874524
3540,-243.191357001215,-17.63036644181891,-247.96295880944757,108440.5501987074,7.110080685626655e-05,-13.174140551898883,-34.386264495562145,-9.786920167915731
