id,no vol score,log vol score,score,mean volume,volatility,short mom,long mom,short unweighted mom,long unweighted mom
2070,-6.858892234933215,-39.54169554614103,-121.03971698636462,86444.43021955261,5.666645961924947e-05,-16.246789685604067,-11.201377784738654,-26.939253235161264,-15.049505446128576
5070,-13.380140522340277,-55.61511443476182,-120.67435781941548,215311.7431357312,0.000110878075211,-35.86067693929439,-28.904628211077828,-39.59183900481717,-30.98835945919964
1840,-10.952628720492465,-49.64355174995277,-120.60197097300622,92118.30462018732,9.081633270275442e-05,-36.73676215134014,-22.65275362367644,-34.39309646090616,-19.490939702835348
5060,-10.851823885400115,-49.34748893109456,-120.3543508664121,122490.5315661909,9.016561351774603e-05,-21.444670764717863,-23.820918041909792,-32.30809020315356,-28.29201362160035
1620,-8.46107448189621,-43.271092099863786,-119.7351414537786,65755.55314533622,7.0664922420979e-05,-32.7868659284129,-14.991751614586232,-26.03860575750561,-13.68830394580723
4600,-5.8963444112702605,-36.92421648251937,-119.4174606315126,66441.23473247062,4.9375898466512006e-05,-20.06091165761742,-11.93881179056723,-15.62634182498378,-12.647418663116746
2620,-11.363481310897216,-50.42688882180169,-119.35691065485553,128160.40786844296,9.520589338774866e-05,-36.72704751167655,-21.14285549238276,-37.91527842284575,-22.00168671444937
2020,-7.195389926770019,-39.877125137704994,-118.4179578456087,74480.22368368765,6.0762658448740056e-05,1.171272284034376,-11.451475367348614,-28.219660443458547,-20.082342619559466
3160,-7.196892208100551,-39.733883951010654,-117.63024724465022,78214.21044829434,6.118232662669051e-05,-21.87000017361912,-14.812654937013342,-19.515516227484813,-16.832223480504418
900,-4.682800996572534,-33.81304376994769,-117.23224761163772,36203.64527224214,3.994464912150733e-05,-18.17955684604983,-9.768866969160278,-11.53002925619906,-8.219827271791095
1420,-4.800054905565124,-33.96592141448608,-116.81602066572891,41889.12723612746,4.109072435621279e-05,-18.370787575102018,-9.365278048985404,-12.382575128117823,-9.034049664165364
3740,-7.4767462433456835,-40.21652983722733,-116.4946345450145,109599.95145833334,6.41810352257606e-05,-14.195211710472936,-14.192929026885793,-28.74977771090117,-17.051835902476952
2470,-17.66732195604678,-64.97274396310017,-116.47738683903648,228006.11926587223,0.0001516802740472,55.461167003115925,-19.76686595262234,-82.54404788485465,-57.95600386718787
3640,-9.130833389691729,-44.07901490591691,-115.04894897698456,111694.59388962436,7.936477013378317e-05,-35.44822939117785,-14.5512382482453,-30.485912514525147,-13.999131475271875
